id,class_id,student_id,year,mark_not_in,"subclass_id
"
6,2,2,2016/2017,N,"0
"
5,2,1,2016/2017,N,"0
"
7,2,3,2016/2017,N,"0
"
8,2,4,2016/2017,N,"0
"
9,2,5,2016/2017,N,"0
"
10,2,6,2016/2017,N,"0
"
11,2,7,2016/2017,N,"0
"
14,2,8,2016/2017,N,"0
"
16,2,10,2016/2017,N,"0
"
17,2,11,2016/2017,N,"0
"
18,2,12,2016/2017,N,"0
"
19,2,13,2016/2017,N,"0
"
20,2,14,2016/2017,N,"0
"
21,2,15,2016/2017,N,"0
"
24,2,18,2016/2017,N,"0
"
25,2,19,2016/2017,N,"0
"
26,2,20,2016/2017,N,"0
"
27,2,21,2016/2017,N,"0
"
28,2,22,2016/2017,N,"0
"
29,2,23,2016/2017,N,"0
"
30,2,24,2016/2017,N,"0
"
31,2,25,2016/2017,N,"0
"
32,2,26,2016/2017,N,"0
"
33,2,27,2016/2017,N,"0
"
34,3,28,2016/2017,N,"0
"
36,3,30,2016/2017,N,"0
"
37,3,31,2016/2017,N,"0
"
38,3,32,2016/2017,N,"0
"
39,3,33,2016/2017,N,"0
"
41,3,35,2016/2017,N,"0
"
42,3,36,2016/2017,N,"0
"
43,3,37,2016/2017,N,"0
"
44,3,38,2016/2017,N,"0
"
45,3,39,2016/2017,N,"0
"
46,3,40,2016/2017,N,"0
"
47,3,41,2016/2017,N,"0
"
48,3,42,2016/2017,N,"0
"
49,3,43,2016/2017,N,"0
"
50,3,44,2016/2017,N,"0
"
51,3,45,2016/2017,N,"0
"
52,3,46,2016/2017,N,"0
"
53,3,47,2016/2017,N,"0
"
54,3,48,2016/2017,N,"0
"
55,3,49,2016/2017,N,"0
"
56,3,50,2016/2017,N,"0
"
57,3,51,2016/2017,N,"0
"
59,3,53,2016/2017,N,"0
"
60,3,54,2016/2017,N,"0
"
61,3,55,2016/2017,N,"0
"
62,5,56,2016/2017,N,"0
"
63,5,57,2016/2017,N,"0
"
64,5,58,2016/2017,N,"0
"
65,5,59,2016/2017,N,"0
"
66,5,60,2016/2017,N,"0
"
67,5,61,2016/2017,N,"0
"
68,5,62,2016/2017,N,"0
"
69,5,63,2016/2017,N,"0
"
70,4,64,2016/2017,N,"0
"
71,4,65,2016/2017,N,"0
"
72,4,66,2016/2017,N,"0
"
73,4,67,2016/2017,N,"0
"
74,4,68,2016/2017,N,"0
"
75,4,69,2016/2017,N,"0
"
76,4,70,2016/2017,N,"0
"
77,4,71,2016/2017,N,"0
"
78,4,72,2016/2017,N,"0
"
79,4,73,2016/2017,N,"0
"
80,4,74,2016/2017,N,"0
"
81,4,75,2016/2017,N,"0
"
82,4,76,2016/2017,N,"0
"
83,4,77,2016/2017,N,"0
"
84,4,78,2016/2017,N,"0
"
85,4,79,2016/2017,N,"0
"
86,3,80,2016/2017,N,"0
"
88,4,82,2016/2017,N,"0
"
89,4,83,2016/2017,N,"0
"
90,2,84,2016/2017,N,"0
"
92,4,86,2016/2017,N,"0
"
